Report Date, Equity Share Capital , Reserves , Borrowings , Other Liabilities , Total , Net Block , Capital Work in Progress , Investments , Other Assets , Total , Receivables , Inventory , Cash & Bank , No. of Equity Shares , New Bonus Shares , Face value 
Mar-13,109.98,21285.91,69331.83,21143.3,111871.02,48770.27,29248.44,323.04,33529.27,111871.02,9002.18,3733.34,7074.24,1099810083,,1
Mar-14,109.98,23647.21,71979.92,22364.81,118101.92,70578.7,13573.6,288.39,33661.23,118101.92,10112.53,3924.07,3721.12,1099810100,,1
Mar-15,109.98,25617.83,83570.64,21419.74,130718.19,83834.04,6733.02,744.11,39407.02,130718.19,15319.15,4081.68,3651.04,1099810083,,1
Mar-16,109.98,13267.63,19169.35,9132.42,41679.38,10473.3,7704.94,804.95,22696.19,41679.38,10187.46,1299.78,1539.5,1099810083,,1
Mar-17,109.98,14025.99,20845.72,12629.78,47611.47,13667.98,7731.49,1041.75,25170.25,47611.47,12741.75,1651.9,1715.09,1099810083,,1
Mar-18,109.98,14979.19,17636.69,23679.48,56405.34,10555.19,5525.87,1460.72,38863.56,56405.34,12098.77,2342.56,1884.25,1099810083,,1
Mar-19,109.98,14645.96,11243.2,16537.04,42536.18,9020.11,5764.92,1511.35,26239.8,42536.18,14307.03,2668.82,1709.28,1099810083,,1
Mar-20,109.98,16836.59,12419.3,17509.19,46875.06,10476.46,7346.73,1952.49,27099.38,46875.06,13146.53,2562.37,3376.68,1099810083,,1
Mar-21,109.98,17048.59,16227.06,18231.09,51616.72,10837.61,8825.46,5502.94,26450.71,51616.72,11982.65,1757.04,1810.82,1099810083,,1
Mar-22,109.98,22146.53,41604.03,37725.82,101586.36,30122.77,23544.42,4292.21,43626.96,101586.36,13712.19,6788.28,3915.86,1099810083,,1
