Report Date,Equity Share Capital, Reserves , Borrowings , Other Liabilities ,Total Liabilities, Net Block , Capital Work in Progress , Investments , Other Assets , Total , Receivables , Inventory , Cash & Bank , No. of Equity Shares , New Bonus Shares , Face value ,Net Profit
Mar-13,1153.64,67608.77,487658.76,118400.54,674821.71,5473.46,,255666.68,413681.57,674821.71,,,49370.86,1153693318,,10,9603.61
Mar-14,1155.04,75274.8,543054.75,128277.78,747762.37,5506.83,,267609.44,474646.1,747762.37,,,48258.23,1155098858,,10,11041.37
Mar-15,1159.66,83544.88,597207.25,144167.38,826079.17,5871.21,,274310.81,545897.15,826079.17,,,47637.17,5797510734,,2,12246.87
Mar-16,1163.17,92947.55,671455.05,153190.43,918756.2,8713.46,,286044.09,623998.65,918756.2,,,65035.97,5815034519,,2,10179.96
Mar-17,1165.11,103466.89,700874.02,180218.63,985724.65,9337.96,,304373.29,672013.4,985724.65,,,80490.87,5824742224,,2,10188.38
Mar-18,1285.81,109343.89,815197.94,198453.41,1124281.05,9465.01,,372207.68,742608.36,1124281.05,,,88999.13,6428256865,582984544,2,7712.19
Mar-19,1289.46,112963.95,891641.06,232899.42,1238793.89,9660.42,,398200.76,830932.71,1238793.89,,,87390.9,6446505742,,2,4254.24
Mar-20,1294.76,121665.3,1014636.24,239695.93,1377292.23,10408.66,,443472.63,923410.94,1377292.23,,,127852.92,6473031292,,2,9566.31
Mar-21,1383.41,156204.09,1103839.96,312384.79,1573812.25,10916.93,,536578.62,1026316.7,1573812.25,,,147570.53,6916258476,,2,18384.32
Mar-22,1389.97,180662.52,1252968.47,317616.42,1752637.38,10706.74,,567097.72,1174832.92,1752637.38,,,183125.98,6949037464,,2,25110.1
