 Report Date , Equity Share Capital , Reserves , Borrowings , Other Liabilities ,Total Liabilities, Net Block , Capital Work in Progress , Investments , Other Assets , Total , Receivables , Inventory , Cash & Bank , No. of Equity Shares , New Bonus Shares , Face value , Net Profit 
Mar-13,286,37708,,8281,46275,7139,1140,2116,35880,46275,7083,,21832,571402566,,5,9429
Mar-14,286,44244,,12436,56966,8378,961,4331,43296,56966,8351,,25950,571402566,,5,10656
Mar-15,572,50164,,15553,66289,11346,776,2270,51897,66289,9713,,30367,1142805132,574236166,5,12372
Mar-16,1144,60600,,13354,75098,13386,960,1892,58860,75098,11330,,32697,2285621088,1148472332,5,13489
Mar-17,1144,67838,,14166,83148,14179,1365,16423,51181,83148,12322,,22625,2285655150,,5,14353
Mar-18,1088,63835,,14426,79349,12574,1606,12163,53006,79349,13142,,19818,2173312301,,5,16029
Mar-19,2170,62778,,19118,84066,15710,1388,11261,55707,84066,14827,,19568,4335954462,2184191490,5,15404
Mar-20,2122,63328,4633,21717,91800,23789,954,8792,58265,91800,18487,,18649,4240753210,,5,16594
Mar-21,2124,74227,5325,25835,107511,25505,922,14205,66879,107511,19294,,24714,4245146114,,5,19351
Mar-22,2098,73252,5474,35905,116729,25800,416,20324,70189,116729,22698,,17472,4193012929,,5,22110
