Report Date,Equity Share Capital, Reserves , Borrowings , Other Liabilities ,Total Liabilities, Net Block , Capital Work in Progress , Investments , Other Assets , Total , Receivables , Inventory , Cash & Bank , No. of Equity Shares , New Bonus Shares , Face value ,Net profit
Mar-13,295.16,19665.54,28711.05,27459.68,76131.43,18307.34,1631.2,6440.41,49752.48,76131.43,5176.97,8416.9,4936.54,590323271,,5,4099.2
Mar-14,295.16,23011.7,35166.79,29414.94,87888.59,18380.96,2191.05,8082.35,59234.23,87888.59,5725.42,8353.54,6522.79,615892400,,5,4666.93
Mar-15,295.7,25560.68,37911.46,30608.37,94376.21,19046.74,3032.14,10027.14,62270.19,94376.21,5476.16,8453.39,4911.83,591392278,,5,3137.47
Mar-16,270.4,26222.25,41552.93,31806.24,99851.82,20584.71,2371.35,11602.58,65293.18,99851.82,5817.6,9116.12,4527.55,592633807,,5,3148.43
Mar-17,310.55,29467.1,48761.91,35295.92,113835.48,20989.01,4278.94,14662.44,73905.09,113835.48,7199.26,8886.01,4654.03,621092384,,5,3698.04
Mar-18,543.13,36232.06,55897.92,43696.2,136369.31,26181.9,4269.47,16017.61,89900.33,136369.31,8489.82,9335.57,6547.6,1243192544,621596272,5,7510.39
Mar-19,543.96,39439.45,70848.3,51056.95,161888.66,28982.74,4759.84,18268.1,109877.98,161888.66,8677.89,12200.16,8734.91,1243192544,,5,5315.46
Mar-20,554.28,39415.03,82092.28,43654.54,165716.13,29689.27,6856.48,19210.34,109960.04,165716.13,6928.28,11111.86,7910.9,1243192544,,5,127.04
Mar-21,555.15,41026.77,80624.83,42761.58,164968.33,21379.68,7872.61,28777.66,106938.38,164968.33,6007.76,9615.41,12851.99,1110297953,,5,1812.49
Mar-22,556.06,46566.58,77605.21,47660.64,172388.49,26018.49,6702.81,30060.43,109606.76,172388.49,6373.95,11595.82,11117.61,1112130815,,5,6577.32
