Report Date,Sales, Raw Material Cost , Change in Inventory , Power and Fuel , Other Mfr. Exp , Employee Cost , Selling and admin , Other Expenses , Other Income , Depreciation , Interest ,Profit before tax, Tax ,Net Profit,Dividend Amount
Mar-13,395957,337204,4954,7993,7218,5179,10180,-18,7757,11232,3463,26217,5331,20879,2642.4
Mar-14,433521,363582,560,10855,7954,5572,10681,502,8865,11201,3836,28763,6215,22493,2793
Mar-15,374372,292563,-1483,13261,8914,6262,12548,1892,8528,11547,3316,31114,7474,23566,2943
Mar-16,272583,186254,-2560,10741,8272,7407,18808,-3240,12212,11565,3691,38737,8876,29745,3095.4
Mar-17,303954,217518,5218,11251,9909,8388,18520,-2721,9222,11646,3849,40034,10201,29901,3254.9
Mar-18,390823,276076,8610,14569,9691,9523,29111,-3852,9869,16706,8052,49426,13346,36075,3553.2
Mar-19,568337,399167,4680,17029,12198,12488,50221,-2336,8406,20934,16495,55227,15390,39588,3851.9
Mar-20,596679,410288,5048,15098,11434,14075,62622,-1056,8570,22203,22027,53606,13726,39354,4120.35
Mar-21,466307,301765,9064,13214,7687,14817,56154,944,22432,26572,21189,55461,1722,49128,4511.5
Mar-22,698672,496369,21457,17902,12174,18775,63557,757,17928,29797,14584,84142,16297,60705,5412
