Report Date,Equity Share Capital, Reserves , Borrowings , Other Liabilities ,Total Liabilities, Net Block , Capital Work in Progress , Investments , Other Assets , Total , Receivables , Inventory , Cash & Bank , No. of Equity Shares , New Bonus Shares , Face value ,Net Profit
Mar-13,684.03,124348.99,1831125.81,176355.44,2132514.27,8693.5,676.43,519343.42,1603800.92,2132514.27,,,145227.73,684033971,,10,17916.23
Mar-14,746.57,146623.96,2062612.07,185573.42,2395556.02,10222.51,337.27,579401.26,1805594.98,2395556.02,,,167161.34,746573092,,10,14173.78
Mar-15,746.57,160640.97,2297624.26,240148.73,2699160.53,12924.2,400.32,673507.48,2012328.53,2699160.53,,,188481.05,7465730920,,1,16994.3
Mar-16,776.28,179816.09,2615256.95,276472.16,3072321.48,15415.21,785.7,807374.58,2248745.99,3072321.48,,,204559.47,7762777042,,1,12224.6
Mar-17,797.35,216394.8,2936176.32,288391.04,3441759.51,51189.24,694.92,1027280.87,2362594.48,3441759.51,,,273197.16,7973504442,,1,241.23
Mar-18,892.46,229429.49,3091257.62,294859.6,3616439.17,40300.72,925.07,1183794.24,2391419.14,3616439.17,,,195289.11,8924587534,,1,-4556.29
Mar-19,892.46,233603.2,3354288.72,299675.65,3888460.03,39940.76,762.3,1119269.82,2728487.15,3888460.03,,,225512.26,8924611534,,1,2299.64
Mar-20,892.46,250167.66,3607061.3,339364.31,4197485.73,39608.41,469.76,1228284.28,2929123.28,4197485.73,,,254315.26,8924611534,,1,19767.8
Mar-21,892.46,274669.1,4149127.45,420925.83,4845614.84,41600.44,116.35,1595100.27,3208797.78,4845614.84,,,347707.04,8924611534,,1,22405.46
Mar-22,892.46,304695.58,4536570.38,518719.42,5360877.84,41032.49,27.57,1776489.9,3543327.88,5360877.84,,,398905.12,8924611534,,1,35373.88
