Report Date,Sales, Raw Material Cost , Change in Inventory , Power and Fuel , Other Mfr. Exp , Employee Cost , Selling and admin , Other Expenses , Other Income , Depreciation , Interest ,Profit before tax, Tax ,Net profit,Dividend Amount
Mar-13,167976.14,,,,530.13,24408.65,7030.64,34313.19,32583.7,1577.49,106817.91,25881.83,7558.83,17916.23,2838.72
Mar-14,189062.44,,,,591.76,29874.91,8441.07,43289.82,37882.13,1942.43,121479.04,21325.54,6836.07,14173.78,2239.71
Mar-15,207974.34,,,,730.46,31123.2,9333.86,55487.29,49315.17,1581.49,133178.64,25854.57,8337.2,16994.3,2613
Mar-16,220632.75,,,,797.06,32533.31,9750.12,66904.29,52828.39,2252.21,143047.36,18176.79,5433.5,12224.6,2018.33
Mar-17,230447.1,,,,870.96,35700.74,10596.89,98497.5,68193.17,2914.68,149114.67,944.83,1335.5,241.23,2073.11
Mar-18,228970.28,,,,971.9,35417.16,12237.75,120406.99,77526.66,3105.07,146602.98,-12244.91,-8057.5,-4556.29,
Mar-19,253322.17,,,,1057.77,43804.72,12823.59,108417.44,77365.19,3495.89,155867.46,5220.49,2151.41,2299.64,
Mar-20,269851.66,,,,1121.27,48861.7,13665.28,109260.45,98158.99,3661.56,161123.8,30316.59,12139.76,19767.8,
Mar-21,278115.48,,,,1116.5,54344.09,14050.25,123309.85,107222.41,3711.06,156010.17,32795.97,8516.25,22405.46,3569.84
Mar-22,289972.69,,,,1219.04,61457.96,15354.12,119317.73,117000.4,3691.27,156194.34,49738.63,13382.46,35373.88,6336.47
