Report Date,Equity Share Capital, Reserves , Borrowings , Other Liabilities ,Total Liabilities, Net Block , Capital Work in Progress , Investments , Other Assets , Total , Receivables , Inventory , Cash & Bank , No. of Equity Shares , New Bonus Shares , Face value ,Net profit
Mar-13,638.07,36999.23,53715.71,76977.02,168330.03,55511.73,18453.55,8764.73,85600.02,168330.03,10959.6,21036.82,21114.82,3190115771,,2,9892.61
Mar-14,643.78,64959.67,60642.28,92180.26,218425.99,69091.67,33262.56,10686.67,105385.09,218425.99,10574.23,27270.89,29711.79,3218930000,,2,13991.02
Mar-15,643.78,55618.14,73610.39,107442.48,237314.79,88479.49,28640.09,15336.74,104858.47,237314.79,12579.2,29272.34,32115.76,3218930067,,2,13986.29
Mar-16,679.18,78273.23,69359.96,114871.75,263184.12,107231.76,25918.94,23767.02,106266.4,263184.12,13570.91,32655.73,30460.4,3395930306,,2,11579.31
Mar-17,679.22,57382.67,78603.98,135914.49,272580.36,95944.08,33698.84,20337.92,122599.52,272580.36,14075.55,35085.31,36077.88,3396100719,,2,7454.36
Mar-18,679.22,94748.69,88950.47,142813.43,327191.81,121413.86,40033.5,20812.75,144931.7,327191.81,19893.3,42137.63,34613.91,3396100719,,2,8988.91
Mar-19,679.22,59500.34,106175.34,139348.59,305703.49,111234.47,31883.84,15770.72,146814.46,305703.49,18996.17,39013.73,32648.82,3396100719,,2,-28826.23
Mar-20,719.54,61491.49,124787.64,133180.72,320179.39,127107.14,35622.29,16308.48,141141.48,320179.39,11172.69,37456.88,33726.97,3597726185,,2,-12070.85
Mar-21,765.81,54480.91,142130.57,144192.62,341569.91,138707.61,20963.93,24620.28,157278.09,341569.91,12679.08,36088.59,46792.46,3829060661,,2,-13451.39
Mar-22,765.88,43795.36,146449.03,138051.22,329061.49,138855.45,10251.09,29379.53,150575.42,329061.49,12442.12,35240.34,40669.19,3829414903,,2,-11441.47
