Report Date,Sales, Raw Material Cost , Change in Inventory , Power and Fuel , Other Mfr. Exp , Employee Cost , Selling and admin , Other Expenses , Other Income , Depreciation , Interest ,Profit before tax, Tax ,Net Profit,Dividend Amount
Mar-13,188792.69,123117.34,3029.29,1077.77,4440.73,16632.19,16632.91,5325.06,212.88,7601.28,3560.25,13647.33,3776.66,9892.61,638.07
Mar-14,232833.66,146426.99,2840.58,1128.69,13806.04,21609.92,22357.79,-4508.55,-156.79,11078.16,4749.44,18868.97,4764.79,13991.02,643.78
Mar-15,263158.98,163250.36,3330.35,1121.75,16173.17,25641.95,23603.01,-2539.56,714.03,13388.63,4861.49,21702.56,7642.91,13986.29,
Mar-16,273045.6,166134.01,2750.99,1143.63,12101.53,28880.89,21991.9,7149.38,-2669.62,16710.78,4889.08,14125.77,3025.05,11579.31,67.92
Mar-17,269692.51,173294.08,7399.92,1159.82,10067.37,28332.89,30039.38,4610.2,1869.1,17904.99,4238.01,9314.79,3251.23,7454.36,
Mar-18,291550.48,187896.58,2046.58,1308.08,10971.66,30300.09,31004.58,658.39,5932.73,21553.59,4681.79,11155.03,4341.93,8988.91,
Mar-19,301938.4,194267.91,-2053.28,1585.93,11694.54,33243.87,32719.8,1708.74,-26686.25,23590.63,5758.6,-31371.15,-2437.45,-28826.23,
Mar-20,261067.97,164899.82,-2231.19,1264.95,11541.51,30438.6,29248.32,3456.51,101.71,21425.43,7243.33,-10579.98,395.25,-12070.85,
Mar-21,249794.75,153607.36,-4684.16,1112.87,8273.17,27648.48,23015.79,-834.51,-11117.83,23546.71,8097.17,-10474.28,2541.86,-13451.39,
Mar-22,278453.62,179295.33,-1590.49,2178.29,9427.38,30808.52,29205.4,1228.12,2424.05,24835.69,9311.86,-7003.41,4231.29,-11441.47,
