Report Date,Equity Share Capital, Reserves , Borrowings , Other Liabilities ,Total Liabilities, Net Block , Capital Work in Progress , Investments , Other Assets , Total , Receivables , Inventory , Cash & Bank , No. of Equity Shares , New Bonus Shares , Face value ,Net Profit
Mar-13,195.72,38350.01,232.27,13154.39,51932.39,9828.01,1895.36,1897.34,38311.68,51932.39,14095.58,21.15,6769.16,1957220996,,1,13917.31
Mar-14,195.87,48998.89,296.87,17337.35,66828.98,9544.33,3168.48,3433.74,50682.43,66828.98,18230.4,15.21,14441.84,1958727979,,1,19163.87
Mar-15,195.87,50438.89,357.7,22325.46,73317.92,11638.17,2766.37,1661.78,57251.6,73317.92,20437.94,16.07,18556.04,1958727979,,1,19852.18
Mar-16,197,70875,245,16974,88291,11774,1670,22822,52025,88291,24073,16,6788,1970427941,,1,24270
Mar-17,197,86017,289,15830,102333,11701,1541,41980,47111,102333,22617,21,4149,1970427941,,1,26289
Mar-18,191,84937,247,19751,105126,11973,1278,36008,55867,105126,24943,26,7161,1914287591,,1,25826
Mar-19,375,89071,62,24393,113901,12290,963,29330,71318,113901,27346,10,12848,3752384706,,1,31472
Mar-20,375,83751,8174,27820,120120,20928,906,26356,71930,120120,30532,5,9666,3752384706,,1,32340
Mar-21,370,86063,7795,35764,129992,21021,926,29373,78672,129992,30079,8,9329,3699051373,,1,32430
Mar-22,366,88773,7818,43967,140924,21298,1205,30485,87936,140924,34074,20,18221,3659051373,,1,38327
